[2021-05-21 12:17:13,198][iopath.fb.manifold][INFO] - Caching manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth ...
[2021-05-21 12:17:48,439][__main__][INFO] - Pair: pair_000026 lpips=0.5767418146133423
[2021-05-21 12:17:48,578][__main__][INFO] - Pair: pair_000026 ssim=0.5370084047317505
[2021-05-21 12:17:48,611][__main__][INFO] - Pair: pair_000027 l1=0.11526088416576385
[2021-05-21 12:17:48,614][__main__][INFO] - Pair: pair_000027 l1_masked=0.14055432379245758
[2021-05-21 12:17:48,616][__main__][INFO] - Pair: pair_000027 psnr=15.595110893249512
[2021-05-21 12:17:48,618][__main__][INFO] - Pair: pair_000027 psnr_masked=14.733487129211426
[2021-05-21 12:17:48,634][__main__][INFO] - Pair: pair_000027 lpips=0.4005962610244751
[2021-05-21 12:17:48,786][__main__][INFO] - Pair: pair_000027 ssim=0.6330033540725708
[2021-05-21 12:17:48,823][__main__][INFO] - Pair: pair_000028 l1=0.22340424358844757
[2021-05-21 12:17:48,826][__main__][INFO] - Pair: pair_000028 l1_masked=0.2929498553276062
[2021-05-21 12:17:48,827][__main__][INFO] - Pair: pair_000028 psnr=9.751398086547852
[2021-05-21 12:17:48,830][__main__][INFO] - Pair: pair_000028 psnr_masked=8.574378967285156
[2021-05-21 12:17:48,848][__main__][INFO] - Pair: pair_000028 lpips=0.5491321086883545
[2021-05-21 12:17:49,009][__main__][INFO] - Pair: pair_000028 ssim=0.5557605624198914
[2021-05-21 12:17:49,047][__main__][INFO] - Pair: pair_000029 l1=0.20644189417362213
[2021-05-21 12:17:49,050][__main__][INFO] - Pair: pair_000029 l1_masked=0.21746745705604553
[2021-05-21 12:17:49,052][__main__][INFO] - Pair: pair_000029 psnr=11.356253623962402
[2021-05-21 12:17:49,055][__main__][INFO] - Pair: pair_000029 psnr_masked=11.130290031433105
[2021-05-21 12:17:49,075][__main__][INFO] - Pair: pair_000029 lpips=0.5748714208602905
[2021-05-21 12:17:49,257][__main__][INFO] - Pair: pair_000029 ssim=0.5070427656173706
[2021-05-21 12:17:49,293][__main__][INFO] - Pair: pair_000030 l1=0.12002617120742798
[2021-05-21 12:17:49,295][__main__][INFO] - Pair: pair_000030 l1_masked=0.17339307069778442
[2021-05-21 12:17:49,297][__main__][INFO] - Pair: pair_000030 psnr=13.50040340423584
[2021-05-21 12:17:49,300][__main__][INFO] - Pair: pair_000030 psnr_masked=11.90284538269043
[2021-05-21 12:17:49,317][__main__][INFO] - Pair: pair_000030 lpips=0.4244125187397003
[2021-05-21 12:17:49,462][__main__][INFO] - Pair: pair_000030 ssim=0.7076224088668823
[2021-05-21 12:17:49,494][__main__][INFO] - Pair: pair_000031 l1=0.12010297924280167
[2021-05-21 12:17:49,496][__main__][INFO] - Pair: pair_000031 l1_masked=0.16548307240009308
[2021-05-21 12:17:49,498][__main__][INFO] - Pair: pair_000031 psnr=14.165371894836426
[2021-05-21 12:17:49,500][__main__][INFO] - Pair: pair_000031 psnr_masked=12.773374557495117
